Final Output:
ment-api1344-UAZ-r1-1289294-24-244876--->[ELEMENT:ERK1;  positive reg: ['phosphorylation of ERK1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-83-245099--->[ELEMENT:ERK;  positive reg: ['phosphorylation of ERK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-116-245221--->[ELEMENT:p70S6K;  positive reg: ['phosphorylation of p70S6K'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-111-245203--->[ELEMENT:p70S6K;  positive reg: ['phosphorylation of p70S6K'];  negative reg: [];  direct reg: []]
(Reg Node)phosphorylation of MEK1--->[ELEMENT:(Reg Node)phosphorylation of MEK1;  positive reg: ['B-Raf'];  negative reg: [];  direct reg: ['phosphorylation of MEK1']]
ment-api1344-UAZ-r1-1289294-169-244772--->[ELEMENT:4EBP1;  positive reg: ['(Reg Node)phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-95-245253--->[ELEMENT:proliferation;  positive reg: [];  negative reg: ['rapamycin'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-114-245213--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-114-245212--->[ELEMENT:p70S6K;  positive reg: ['phosphorylation of p70S6K'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-9-244763--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-127-245074--->[ELEMENT:MEK;  positive reg: ['phosphorylation of MEK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-8-244854--->[ELEMENT:cell proliferation;  positive reg: [];  negative reg: ['rapamycin'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-141-244751--->[ELEMENT:MEK;  positive reg: ['(Reg Node)phosphorylation of MEK'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-79-245089--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-85-245009--->[ELEMENT:B-Raf;  positive reg: [];  negative reg: ['BAY43-9006'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-24-244754--->[ELEMENT:MEK1;  positive reg: ['(Reg Node)phosphorylation of MEK1'];  negative reg: [];  direct reg: []]
(Reg Node)phosphorylation of MEK2--->[ELEMENT:(Reg Node)phosphorylation of MEK2;  positive reg: ['B-Raf'];  negative reg: [];  direct reg: ['phosphorylation of MEK2']]
ment-api1344-UAZ-r1-1289294-128-245075--->[ELEMENT:B-Raf;  positive reg: [];  negative reg: ['BAY43-9006'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-150-244799--->[ELEMENT:cell proliferation;  positive reg: [];  negative reg: ['rapamycin'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-138-244907--->[ELEMENT:mTOR;  positive reg: [];  negative reg: ['rapamycin'];  direct reg: []]
ment-api1344-UAZ-r1-1289294-118-245229--->[ELEMENT:4EBP1;  positive reg: ['phosphorylation of 4EBP1'];  negative reg: [];  direct reg: []]
ment-api1344-UAZ-r1-1289294-142-244811--->[ELEMENT:4EBP1;  positive reg: ['mTOR'];  negative reg: [];  direct reg: []]

