,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
451,gm-csf,protein,p04141,nan,nan,nan,nan,nan,il-10,protein,p22301,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc6804784'],['nan'],1,0.1,40,1,40.1
448,glut1,protein,p11166,nan,nan,nan,nan,nan,il-7,protein,p13232,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7409228'],['nan'],1,0.1,40,1,40.1
382,cxcl10,protein,p02778,nan,nan,nan,nan,nan,tnf,protein,p01375,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9638445'],['nan'],1,0.1,40,1,40.1
353,crkl,protein,p46109,nan,nan,nan,nan,nan,ephb4,protein,p54760,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7985479'],['nan'],1,0.1,40,1,40.1
355,crs,protein,q15672,nan,nan,nan,nan,nan,g-csf,protein,p09919,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9622902'],['nan'],1,0.1,40,1,40.1
356,crs,protein,q15672,nan,nan,nan,nan,nan,ifn-gamma,protein,p01579,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7333770'],['nan'],1,0.1,40,1,40.1
357,crs,protein,q15672,nan,nan,nan,nan,nan,il-17a,protein,q16552,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7333770'],['nan'],1,0.1,40,1,40.1
360,crs,protein,q15672,nan,nan,nan,nan,nan,myd88,protein,q99836,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc6511336'],['nan'],1,0.1,40,1,40.1
361,crs,protein,q15672,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,aes,protein,q08117,nan,nan,i,['nan'],['nan'],['pmc8059303'],['nan'],1,0.1,40,1,40.1
363,crs,protein,q15672,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,gm-csf,protein,p04141,nan,nan,i,['nan'],['nan'],['pmc7547336'],['nan'],1,0.1,40,1,40.1
366,cs1,protein,o94985,nan,nan,nan,nan,nan,sap,protein,o60880,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7409338'],['nan'],1,0.1,40,1,40.1
367,csf,protein,p04141,nan,nan,nan,nan,nan,cd19,protein,p15391,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8131494'],['nan'],1,0.1,40,1,40.1
368,csf1r,protein,p07333,nan,nan,nan,nan,nan,mcl,protein,q8wxi8,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8750340'],['nan'],1,0.1,40,1,40.1
369,csk,protein,p41240,nan,nan,nan,nan,nan,cbp,protein,p04000,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8005572'],['nan'],1,0.1,40,1,40.1
371,cspg4,protein,q6uvk1,nan,nan,nan,nan,nan,tnf,protein,p01375,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc6796553'],['nan'],1,0.1,40,1,40.1
373,ct26,protein,q86tm3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tnfr2,protein,p20333,nan,nan,i,['nan'],['nan'],['pmc8546260'],['nan'],1,0.1,40,1,40.1
374,ct26,protein,q86tm3,nan,nan,nan,nan,nan,tnfr2,protein,p20333,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8546260'],['nan'],1,0.1,40,1,40.1
447,gli family zinc finger 1,protein,p08151,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,hes1,protein,a0a0b4j2d5,nan,nan,i,['nan'],['nan'],['pmc6984804'],['nan'],1,0.1,40,1,40.1
378,ctla-4,protein,p16410,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,pd-l1,protein,q9nzq7,nan,nan,i,['nan'],['nan'],['pmc9961031'],['nan'],1,0.1,40,1,40.1
379,ctla-4,protein,p16410,nan,nan,nan,nan,nan,p56,protein,p09914,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8005572'],['nan'],1,0.1,40,1,40.1
350,cpt1a,protein,p50416,nan,nan,nan,nan,nan,il-15,protein,p40933,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7494758'],['nan'],1,0.1,40,1,40.1
349,chemotaxis,biological process,go:0006935,nan,nan,nan,nan,nan,il-8,protein,p10145,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc7408985'],['nan'],1,0.1,40,1,40.1
348,chemotaxis,biological process,go:0006935,nan,nan,nan,nan,nan,cxcl10,protein,p02778,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8461872'],['nan'],1,0.1,40,1,40.1
336,cd86,protein,p42081,nan,nan,nan,nan,nan,cd4,protein,p01730,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4746098'],['nan'],1,0.1,40,1,40.1
323,cd69,protein,q07108,nan,nan,nan,nan,nan,cd81,protein,p60033,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8812682'],['nan'],1,0.1,40,1,40.1
324,cd69,protein,q07108,nan,nan,nan,nan,nan,gal-9,protein,o00182,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8391477'],['nan'],1,0.1,40,1,40.1
325,cd69,protein,q07108,nan,nan,nan,nan,nan,il-15,protein,p40933,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc6343266'],['nan'],1,0.1,40,1,40.1
326,cd7,protein,p09564,nan,nan,nan,nan,nan,car-t,protein,q16568,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9753314'],['nan'],1,0.1,40,1,40.1
329,cd71,protein,p02786,nan,nan,nan,nan,nan,mlr,protein,p08235,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8488356'],['nan'],1,0.1,40,1,40.1
330,cd79a,protein,p11912,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cd20,protein,p11836,nan,nan,i,['nan'],['nan'],['pmc9941136'],['nan'],1,0.1,40,1,40.1
335,cd83,protein,q01151,nan,nan,nan,nan,nan,btk,protein,q06187,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc10011883'],['nan'],1,0.1,40,1,40.1
339,cdkn1b,protein,p46527,nan,nan,nan,nan,nan,hes1,protein,a0a0b4j2d5,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc6984804'],['nan'],1,0.1,40,1,40.1
347,chemotaxis,biological process,go:0006935,nan,nan,nan,nan,nan,ccl5,protein,p13501,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8461872'],['nan'],1,0.1,40,1,40.1
340,cea,protein,p06731,nan,nan,nan,nan,nan,il-10,protein,p22301,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9872249'],['nan'],1,0.1,40,1,40.1
341,cell adhesion,biological process,go:0007155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,cs1,protein,o94985,nan,nan,i,['nan'],['nan'],['pmc3967004'],['nan'],1,0.1,40,1,40.1
342,cell adhesion,biological process,go:0007155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,icam1,protein,p05362,nan,nan,i,['nan'],['nan'],['pmc8864095'],['nan'],1,0.1,40,1,40.1
343,cell proliferation,biological process,go:0008283,nan,nan,nan,nan,nan,baff,protein,q9y275,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8832753'],['nan'],1,0.1,40,1,40.1
344,cell proliferation,biological process,go:0008283,nan,nan,nan,nan,nan,igf-i,protein,p05019,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9973402'],['nan'],1,0.1,40,1,40.1
345,cell proliferation,biological process,go:0008283,nan,nan,nan,nan,nan,stat3,protein,p40763,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc5839992'],['nan'],1,0.1,40,1,40.1
346,cflip,protein,o15519,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,indo,protein,p14902,nan,nan,i,['nan'],['nan'],['pmc9330341'],['nan'],1,0.1,40,1,40.1
381,cxcl10,protein,p02778,nan,nan,nan,nan,nan,gm-csf,protein,p04141,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8750340'],['nan'],1,0.1,40,1,40.1
375,ctgf,protein,p29279,nan,nan,nan,nan,nan,wnt3a,protein,p56704.t,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9048543'],['nan'],1,0.1,40,1,40.1
383,cxcl11,protein,o14625,nan,nan,nan,nan,nan,gm-csf,protein,p04141,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8750340'],['nan'],1,0.1,40,1,40.1
419,era,protein,p03372,nan,nan,nan,nan,nan,cart,protein,q16568,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc6791516'],['nan'],1,0.1,40,1,40.1
406,dnam-1,protein,q15762,nan,nan,nan,nan,nan,il15,protein,p40933,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9599140'],['nan'],1,0.1,40,1,40.1
385,cxcr1,protein,p25024,nan,nan,nan,nan,nan,car,protein,p36575,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc8865283'],['nan'],1,0.1,40,1,40.1
410,dr5,protein,o14763,nan,nan,nan,nan,nan,mice,protein,p31944,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc9330341'],['nan'],1,0.1,40,1,40.1
411,drug metabolism,biological process,go:0017144,nan,nan,nan,nan,nan,cytochrome p450 3a4,protein,p08684,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc6984804'],['nan'],1,0.1,40,1,40.1
